company_name for Emails,facebook_url,domain
Universidad Europea,https://www.facebook.com/UnivEuropea,universidadeuropea.com
Pepco Iberia,,
ACCIONA Energía,https://facebook.com/accionaenergia/,acciona-energia.com
EDP Renewables,,edpr.com
Hospitales Universitarios San Roque,https://www.facebook.com/HospitalesUniversitariosSanRoque,hospitalessanroque.com
Grupo Sagital,,gruposagital.com
Ministerio de Hacienda y Administraciones Públicas,,
Areas,,areas.com
Desigual,https://www.facebook.com/Desigual,desigual.com
ASEPEYO,https://es-es.facebook.com/Asepeyo/,asepeyo.es
Nada,,estudionada.com
Viena,http://www.facebook.com/VienaSocVienes,viena.es
Gobierno de Canarias,https://www.facebook.com/cifpcesarm,gobiernodecanarias.org
Vodafone España,https://www.facebook.com/vodafoneES/,vodafone.es
GMV,https://www.facebook.com/infoGMV,gmv.com
Paradores,,paradores.es
santalucía seguros,https://facebook.com/santaluciaseguros,santalucia.es
Fundacio Pere Tarres,https://www.facebook.com/FundPereTarres,peretarres.org
Ministerio de Hacienda y Administraciones Públicas,,
DONTE GROUP,,dontegroup.com
ONCE,http://facebook.com/ONCE.org,once.es
BBVA Technology en Europa,,bbvatechnology.com
Alsa,https://facebook.com/alsaautobuses,alsa.es
CASER,https://www.facebook.com/CaserSeguros/,caser.es
SanLucar Company,,sanlucar.com
Casa Tarradellas,https://facebook.com/CasaTarradellas,casatarradellas.es
Hospital del Mar,,hospitaldelmar.cat
BBVA Research,,bbvaresearch.com
VINCI Energies Spain,http://www.facebook.com/VINCIEnergies,vinci-energies.es
GRUP MEDIAPRO,https://www.facebook.com/GrupMEDIAPRO,mediapro.tv
OBRAMAT,,obramat.es
Gabinete de Psicología,,psicologogervasiogn.com
hiberus,https://facebook.com/hiberus/,hiberus.com
Grupo OMBUDS,,ombuds.es
Universidad Miguel Hernández de Elche,,
Samu,https://www.facebook.com/SAMU.Grupo,samu.es
Instituto Cervantes,,cervantes.org
FCC Construcción,,fccco.es
Universidad de Alcalá,https://facebook.com/pages/Revista-Pasavento/397543183623943,uah.es
Universidad de Córdoba,https://facebook.com/ucoidiomas,uco.es
ISS Facility Services España,https://www.facebook.com/issworld,
Universitat Politècnica de Catalunya,,upc.edu
Ahorramas S.A,https://www.facebook.com/Ahorramas,ahorramas.com
Instituto Nacional de Estadística,,ine.es
Eurofirms Group,https://www.facebook.com/EurofirmsPeopleFirst,eurofirms.com
Fundación Hospitalarias,https://facebook.com/hermanashospitalariasgeneral,fundacionhospitalarias.org
Barcelona Children's Hospital Sant Joan de Déu,https://www.facebook.com/SJDHospitalBarcelona,sjdhospitalbarcelona.org
Universidad Miguel Hernández de Elche,,
ISS Facility Services España,https://www.facebook.com/issworld,
Pikolin,https://www.facebook.com/PikolinOficial/,pikolin.com
SANJOSE CONSTRUCTORA,,constructorasanjose.com
Hipotels,https://facebook.com/hipotels,hipotels.com
OVB Allfinanz España,,
Dragados SA,,dragados.com
Tutor with Preply,https://www.facebook.com/preply,
Best Hotels,http://www.facebook.com/besthotels.es,besthotels.es
Eurona,https://facebook.com/euronaonline,eurona.es
Hospital Gregorio Marañón,,hggm.es
Orenes Grupo,https://es-es.facebook.com/GrupoOrenes,orenesgrupo.com
DGA,,
Vector ITC Group,,softtek.eu
Osventos Innovación en Servizos,https://www.facebook.com/search/top,osventos.com
El Ciruelo,https://www.facebook.com/ElCirueloFruits/,elciruelo.com
Servizo Galego de Saúde,https://facebook.com/sanidadexunta,sergas.es
Plexus Tech,,plexus.es
